עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
1,אשר סימוני,30,נשוי+2,טבריה,ז,44,7,1
1,עינב בובליל,23,רווקה,אשקלון,נ,107,15,1
1,קרן חסיס,25,רווקה,הרצליה,נ,37,6,1
1,צבר גדיש,27,רווק,בנימינה,ז,72,11,1
1,רנין בולוס,24,זוגיות,נווה שלום,נ,86,13,1
1,ערן זילברמן,26,רווק,תל אביב,ז,23,4,1
1,בוריס שניידרובסקי,22,רווק,רעננה,ז,9,2,1
1,לאון שניידרובסקי,22,רווק,רעננה,ז,107,15,1
1,נעמה פרידמן,34,נשואה+2,לימן,נ,26,5,1
1,ונסה אלוש,27,רווקה,ביתן אהרון,נ,65,10,1
1,איתי זיו,28,רווק,תל אביב,ז,107,15,1
1,מיקי לוין,31,נשואה+1,רמת השרון,נ,16,3,1
1,שי שטרית,26,זוגיות,חדרה,ז,51,8,1
1,ג'ני טוקרב,23,זוגיות,כפר סבא,נ,28,5,1
1,שפרה קורנפלד,27,רווקה,ירושלים,נ,107,15,1
1,יוסי בובליל,55,נשוי+3,אשקלון,ז,107,15,1
1,חגית רונן מימון,43,נשואה+2,באר שבע,נ,79,12,9
1,יוני וינקל,30,רווק,ערד,ז,93,14,9
1,אינה ברוורמן,22,רווקה,עכו,נ,93,14,9
1,שחר בן דוד,28,רווק,צור יגאל,ז,100,15,9
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
1VIP,שימי תבורי,56,"גרוש בשלישית+7, בזוגיות",ארצות הברית,ז,31,4,1
1VIP,מנחם בן,60,נשוי בשנית+6,כרמיאל,ז,31,4,1
1VIP,שרונה פיק,28,רווקה,רמת השרון,נ,29,4,1
1VIP,דניאלה פיק,25,רווקה,רמת השרון,נ,17,3,1
1VIP,קורין אלאל,54,זוגיות+2,גנות,נ,31,4,1
1VIP,עדי נוימן,26,רווקה,ניו יורק,נ,29,4,1
1VIP,יוסי מילשטיין,31,נשוי+3,?,ז,10,2,1
1VIP,פנינה טורנה,46,נשואה+1,ארצות הברית,נ,31,4,1
1VIP,אמיר פיי גוטמן,32,מאורס,קריית חיים,ז,24,4,1
1VIP,מאיה בוסקילה,31,רווקה,תל אביב,נ,24,4,1
1VIP,גיא לובלצ'יק,19,רווק,?,ז,29,4,1
1VIP,כוכי מרדכי,37,גרושה+1,?,נ,17,3,1
1VIP,דודי מליץ,27,זוגיות,תל אביב,ז,31,4,1
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
2,אביב סביון,26,רווק,נווה מונסון,ז,31,5,1
2,שרה לוין,61,נשואה+3,תל אביב,נ,63,10,1
2,אלין לוי,19,זוגיות,ראשון לציון,נ,110,16,1
2,מעיין חודדה,22,נשואה,קריית טבעון,נ,15,3,1
2,מוטי חודדה,32,נשוי,קריית טבעון,ז,15,3,1
2,יוסף נתן בכר,31,רווק,עולש,ז,49,8,1
2,דלית לאומי,31,גרושה+1,תל אביב,נ,10,2,1
2,בנצי שני,46,נשוי+3,מודיעין,ז,36,6,1
2,"ג'ילדה ""ג'י"" שמש",28,גרושה+1,רמלה,נ,22,4,1
2,ארז דה דרזנר,31,זוגיות,חיפה,ז,105,16,1
2,אלירז שדה,27,רווק,חדרה,ז,110,16,1
2,גואל פינטו,40,גרוש,תל אביב,ז,110,16,1
2,איילה רשף,25,רווקה,ראש העין,נ,98,15,1
2,סתיו וקנין,25,רווקה,רמלה,נ,38,6,1
2,סער שיינפיין,37,רווק,תל אביב,ז,110,16,1
2,פותנה ג'אבר,37,נשואה+2,תל אביב,נ,110,16,1
2,עדנה קנטי,55,נשואה+2,הוד השרון,נ,78,12,7
2,הילה איפרגן,25,גרושה+1,פתח תקווה,נ,91,14,7
2,תומר לנצמן,24,רווק,גבעתיים,ז,70,11,7
2,תמרה חיימוב,36,גרושה+1,תל אביב,נ,56,9,7
2,דנה רחמימוב,25,רווקה,קיסריה,נ,56,9,7
2,בירדי בל,24,רווקה,ניו יורק,נ,5,1,1
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
3,רינת גיטר,21,רווקה,פתח תקווה,נ,39,6,1
3,שירן גיטר,21,רווקה,פתח תקווה,נ,39,6,1
3,יגאל אלנקרי,50,גרוש+1,רמת גן,ז,32,5,1
3,ליהיא גרינר,26,מאורסת,לוס אנג'לס,נ,109,15,1
3,"יעקב ""ג'קי"" מנחם",22,רווק,רמת גן,ז,109,15,1
3,פרידה הכט,46,רווקה+1,תל אביב,נ,102,15,1
3,יואב מאור,21,רווק,תל אביב,ז,60,9,1
3,סיון אברהמי,26,רווקה,אור יהודה,נ,109,15,1
3,עמיר גולדברג,28,רווק,תל אביב,ז,109,15,1
3,דנה רון,38,"גרושה+2, בזוגיות",תל אביב,נ,67,10,1
3,יורם כהן,49,נשוי+8,עפרה,ז,22,4,1
3,נופר מור,22,רווקה,תל אביב,נ,109,15,1
3,אלעד צפני,21,רווק,תל אביב,ז,95,14,1
3,סיון דרור,28,גרושה+1,חיפה,נ,11,2,1
3,לי עוז כהן,25,רווק,תל אביב,ז,99,14,1
3,ליאם רז,27,רווקה,חיפה,נ,46,7,1
3,עתי שולברג,27,רווק,מודיעין,ז,60,9,1
3,רם פרייס סיטון,26,רווק,נתניה,ז,74,11,7
3,מרב בטיטו,41,נשואה בשנית+5,רעננה,נ,81,12,7
3,תומר זריהן,34,רווק,תל אביב,ז,88,13,7
3,הילה אקראי,25,רווקה,תל אביב,נ,88,13,7
3,אבירם בן שושן,30,מאורס,לוס אנג'לס,ז,53,8,7
3,לידיה נובארו,24,רווקה+1,פלמה דה מיורקה,נ,5,1,1
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
4,יעל ברון,47,גרושה בשלישית+2,תל אביב,נ,57,8,1
4,יוסי סרור,54,גרוש+2,קריית אתא,ז,38,6,1
4,קים רטוש,32,רווק,קריית חיים,ז,31,5,1
4,אביבית בר זוהר,29,רווקה,רחובות,נ,87,13,1
4,שי רגב,34,רווק,תל אביב,ז,45,7,1
4,יאנה יוסף,23,רווקה,תל אביב,נ,93,13,1
4,סער סקלי,27,בזוגיות,תל אביב,ז,93,13,1
4,ערן טרטאקובסקי,30,רווק,באר שבע,ז,80,12,1
4,"ברוריה ""ברי"" סימון זהר",52,נשואה בשביעית+1,חיפה,נ,17,3,1
4,תמיר ורדי,36,רווק,תל אביב,ז,93,13,1
4,"יקותיאל ""קותי"" סבג",29,רווק,בית שמש,ז,93,13,1
4,שרי שימחוב,23,רווקה,תל אביב,נ,93,13,1
4,סופי קרבצקי,26,בזוגיות,תל אביב,נ,80,12,1
4,איתם ישראלי,27,רווק,תל אביב,ז,66,10,1
