from,to,sentiment,weight
Maor Bruchman,May erev,negative,5
May erev,Maor Bruchman,negative,5
Maor Bruchman,Dror Clear,positive,5
Dror Clear,Maor Bruchman,positive,5
Maor Bruchman,Shani Edri,negative,5
Shani Edri,Maor Bruchman,negative,5
Dror Clear,Shani Edri,negative,5
Shani Edri,Dror Clear,negative,5
Tirza Cohen,Erez Isakov,romantic,5
Erez Isakov,Tirza Cohen,romantic,5
Lauren Gozlan,Maor Bruchman,positive,5
Maor Bruchman,Lauren Goszlan,positive,5
Erez Isakov,Erez Mughrabi,positive,5
Erez Mughrabi,Erez Isakov,positive,5
Shelly Sandrov,Shelly Ebenstein,positive,5
Shelly Ebenstein,Shelly Sandrov,positive,5
Anna Sophia Kalman,May erev,positive,5
May erev,Anna Sophia Kalman,positive,5
Shani Edri,Lauren Goszlan,negative,5
Lauren Goszlan,Shani Edri,negative,5
Chen Kraunick,May erev,negative,5
May erev,Chen Kraunick,negative,5
