from,to,sentiment,weight
מאור ברוכמן,מאי ערב,negative,5
מאי ערב,מאור ברוכמן,negative,5
מאור ברוכמן,דרור קליר,positive,5
דרור קליר,מאור ברוכמן,positive,5
מאור ברוכמן,שני אדרי,negative,5
שני אדרי,מאור ברוכמן,negative,5
דרור קליר,שני אדרי,negative,5
שני אדרי,דרור קליר,negative,5
תרצה כהן,ארז איזקוב,romantic,5
ארז איזקוב,תרצה כהן,romantic,5
לורן גוזלן,מאור ברוכמן,positive,5
מאור ברוכמן,לורן גוזלן,positive,5
ארז איזקוב,ארז מוגרבי,positive,5
ארז מוגרבי,ארז איזקוב,positive,5
שלי סנדרוב,שלי אבן־שטיין,positive,5
שלי אבן־שטיין,שלי סנדרוב,positive,5
אנה סופיה קלמן,מאי ערב,positive,5
מאי ערב,אנה סופיה קלמן,positive,5
שני אדרי,לורן גוזלן,negative,5
לורן גוזלן,שני אדרי,negative,5
חן קרוניק,מאי ערב,negative,5
מאי ערב,חן קרוניק,negative,5
