from,to,sentiment,weight
בר נעה כהן,טליה עובדיה,negative,7
בר נעה כהן,אליאב טעטי,romantic,8
אליאב טעטי,בר נעה כהן,romantic,8
טליה עובדיה,בר נעה כהן,negative,6
אופק לוי,טליה עובדיה,romantic,5
טליה עובדיה,אופק לוי,positive,5
קאזם חלילה,דיאן שוורץ,negative,5
דיאן שוורץ,טליה עובדיה,negative,6
טליה עובדיה,דיאן שוורץ,negative,6
דיאן שוורץ,נתנאל רודניצקי,romantic,6
נתנאל רודניצקי,דיאן שוורץ,romantic,6
טליה עובדיה,שחף רז,romantic,7
שחף רז,טליה עובדיה,romantic,7
liran rozen,דיאן שוורץ,negative,7
דיאן שוורץ,liran rozen,negative,9
אילנה טרננקו,דניאל מלכה,romantic,6
דניאל מלכה,אילנה טרננקו,positive,7
דרור רוקנשטיין,בר נעה כהן,negative,4
בר נעה כהן,נתנאל רודניצקי,negative,5
נתנאל רודניצקי,בר נעה כהן,negative,5
ריוואה רסלאן,קאזם חלילה,positive,8
קאזם חלילה,ריוואה רסלאן,positive,8
דינה ערמי שמחי,קאזם חלילה,positive,8
דינה ערמי שמחי,ריוואה רסלאן,positive,8
ריוואה רסלאן,דיאן שוורץ,neutral,5
ריוואה רסלאן,בר נעה כהן,positive,6
בר נעה כהן,ריוואה רסלאן,positive,6
שרין טובה אברהם,ריוואה רסלאן,positive,7
שרין טובה אברהם,דינה ערמי שמחי,positive,7
שרין טובה אברהם,קאזם חלילה,positive,7
קאזם חלילה,שחף רז,negative,5
קאזם חלילה,שרין טובה אברהם,positive,7
דינה ערמי שמחי,שרין טובה אברהם,positive,7
שרין טובה אברהם,שחף רז,romantic,8
שחף רז,שרין טובה אברהם,positive,6
