from,to,sentiment,weight
bar cohen,talia ovadia,negative,7
bar cohen,eliav tati,romantic,8
eliav tati,bar cohen,romantic,8
talia ovadia,bar cohen,negative,6
ofek levi,talia ovadia,romantic,5
talia ovadia,ofek levi,positive,5
kazem halila,dian shwartz,negative,5
dian shwartz,talia ovadia,negative,6
talia ovadia,dian shwartz,negative,6
dian shwartz,netanel rodnitzki,romantic,6
netanel rodnitzki,dian shwartz,romantic,6
talia ovadia,shahaf raz,romantic,7
shahaf raz,talia ovadia,romantic,7
liran rozen,dian shwartz,negative,7
dian shwartz,liran rozen,negative,9
ilana taranenko,daniel malka,romantic,6
daniel malka,ilana taranenko,positive,7
dror rokenstein,bar cohen,negative,4
bar cohen,netanel rodnitzki,negative,5
netanel rodnitzki,bar cohen,negative,5
riwaa raslan,kazem halila,positive,8
kazem halila,riwaa raslan,positive,8
dina samhi,kazem halila,positive,8
dina samhi,riwaa raslan,positive,8
riwaa raslan,dian shwartz,neutral,5
riwaa raslan,bar cohen,positive,6
bar cohen,riwaa raslan,positive,6
sharin avraham,riwaa raslan,positive,7
sharin avraham,dina samhi,positive,7
sharin avraham,kazem halila,positive,7
kazem halila,shahaf raz,negative,5
kazem halila,sharin avraham,positive,7
dina samhi,sharin avraham,positive,7
sharin avraham,shahaf raz,romantic,8
shahaf raz,sharin avraham,positive,6
